Restaurant Name,Country Code,City,Locality,Cuisines,cost,Has Table booking,Has Online delivery,Price range,rating,votes
Au Bon Pain,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Cafe', 'Bakery']",600,No,No,2,2.8,8
Cafe Coffee Day,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['Cafe'],450,No,No,1,3.1,10
Cafe Friends,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Cafe', 'Fast Food', 'Street Food']",600,No,No,2,3.2,31
Chinese Bistro,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['Chinese'],600,No,No,2,2.9,5
Dunkin' Donuts,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Burger', 'Desserts', 'Fast Food']",600,No,No,2,3.4,87
Madras Coffee House,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['South Indian'],300,No,No,1,3.0,4
McDonald's,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Fast Food', 'Burger']",500,No,No,2,3.3,35
Nukkadwala,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Fast Food', 'Street Food']",300,No,No,1,3.2,25
Salad Chef,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Healthy Food', 'Fast Food', 'Salad']",400,No,Yes,1,3.2,44
Subway,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['American', 'Fast Food', 'Salad', 'Healthy Food']",500,No,No,2,3.3,27
Tea Halt,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['Cafe'],400,No,Yes,1,2.7,14
The Kachori Co.,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['Street Food'],200,No,No,1,2.5,11
Urban Dhaba,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['North Indian'],700,No,Yes,2,3.2,11
A Piece of Paris,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Desserts', 'Bakery']",600,No,Yes,2,3.9,43
Chaayos,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Cafe', 'Tea']",400,No,Yes,1,3.8,127
Doughlicious,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Bakery', 'Desserts', 'Fast Food']",550,No,No,2,3.6,60
Eggers Madhouse,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",['Fast Food'],500,No,Yes,2,3.7,51
Live Wok,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Chinese', 'Asian', 'Thai']",500,Yes,No,2,3.6,45
Orange Chopsticks,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Chinese', 'Thai', 'Asian']",1300,Yes,Yes,3,3.5,200
Pizzoccheri,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Fast Food', 'Pizza']",800,Yes,No,2,3.6,76
Chai Point,1,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","['Tea', 'Fast Food']",200,No,Yes,1,2.4,49
Latitude - Vivanta By Taj,1,Gurgaon,"Vivanta by Taj, Sector 44, Gurgaon","['North Indian', 'Mediterranean', 'European', 'Asian', 'Chinese', 'Pizza']",3500,Yes,No,4,3.8,305
Thai Pavilion - Vivanta By Taj,1,Gurgaon,"Vivanta by Taj, Sector 44, Gurgaon","['Thai', 'Asian']",4000,Yes,No,4,4.0,219
3H Kitchen,1,Gurgaon,"Vyapar Kendra, Palam Vihar","['North Indian', 'Chinese']",600,No,No,2,2.9,15
Manish Sweets & Bakers,1,Gurgaon,"Vyapar Kendra, Palam Vihar","['Mithai', 'Bakery', 'Street Food']",200,No,No,1,2.8,5
Oasis Kitchen,1,Gurgaon,"Vyapar Kendra, Palam Vihar","['Chinese', 'North Indian']",250,No,No,1,2.9,6
Ramchandra Chinese Food,1,Gurgaon,"Vyapar Kendra, Palam Vihar","['Chinese', 'Fast Food']",250,No,Yes,1,2.7,10
Sona Chinese,1,Gurgaon,"Vyapar Kendra, Palam Vihar",['Chinese'],400,No,No,1,2.8,14
The Pastry Hut,1,Gurgaon,"Vyapar Kendra, Palam Vihar","['Bakery', 'Desserts']",150,No,Yes,1,2.9,13
Bhoomika,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Bakery', 'Desserts']",250,No,No,1,2.9,6
FoodZilla,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Chinese', 'Assamese']",700,No,Yes,2,3.3,153
Goli Vada Pav No. 1,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['Street Food'],150,No,Yes,1,3.4,151
Indo Chinese,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['North Indian', 'Chinese']",200,No,No,1,3.2,12
Kathi Junction,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['Fast Food'],400,No,Yes,1,3.0,89
Romi da Dhaba,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['North Indian'],550,No,Yes,2,3.1,122
Shamji Snacks,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Mithai', 'Street Food', 'South Indian', 'Chinese', 'North Indian']",400,No,No,1,2.7,83
The Lunch Break,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['North Indian'],200,No,No,1,2.9,7
Veg O Non,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['North Indian'],650,No,No,2,3.1,21
Alwar Sweets,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Mithai', 'Street Food']",200,No,No,1,3.5,66
Bakers Oven,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Bakery', 'Desserts']",600,No,Yes,2,3.6,69
Burgzz Bee,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Burger', 'Fast Food']",250,No,Yes,1,3.6,60
Chinese Corner,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Chinese', 'Thai']",500,No,Yes,2,3.6,369
Iroha,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['Bakery', 'Fast Food']",400,No,No,1,3.7,63
Curry 'n' Phulka,1,Gurgaon,"Vyapar Kendra, Sushant Lok","['North Indian', 'Chinese']",400,No,Yes,1,2.4,83
Wah Ji Wah,1,Gurgaon,"Vyapar Kendra, Sushant Lok",['North Indian'],400,No,Yes,1,2.2,142
Woods Spice,1,Gurgaon,"Woods Resort, Gurgaon","['Continental', 'North Indian']",1300,Yes,No,3,3.2,36
Mocha,1,Guwahati,"Anil Plaza, Christian Basti","['Cafe', 'Italian']",800,No,No,3,4.6,394
Terra Mayaa Restaurant and Lounge,1,Guwahati,"Anil Plaza, Christian Basti","['North Indian', 'Continental', 'Italian', 'Chinese']",1400,No,No,3,3.9,360
The Basement Cafí©,1,Guwahati,Chandmari,['Cafe'],600,No,No,2,4.7,126
Strawberry Fields,1,Guwahati,Chandmari,['Cafe'],500,No,No,2,4.1,290
Brooklyn Blues,1,Guwahati,Christian Basti,"['Continental', 'European']",1400,No,No,3,4.2,110
Confucius,1,Guwahati,Christian Basti,"['Chinese', 'Thai']",750,No,No,3,4.1,304
The Woking Mama,1,Guwahati,Christian Basti,"['Chinese', 'Thai', 'Japanese', 'Asian']",1300,No,No,3,4.4,129
Underdoggs Sports Bar & Grill,1,Guwahati,Christian Basti,"['North Indian', 'Continental']",1650,No,No,4,4.4,222
The Zouq : Resto-Cafe,1,Guwahati,Dispur,"['Cafe', 'North Indian', 'Italian']",500,No,No,2,4.1,124
BrewBakes,1,Guwahati,Six Mile,"['Cafe', 'Continental', 'Chinese']",500,No,No,2,4.0,28
Barbeque Nation,1,Guwahati,Ulubari,['North Indian'],1500,No,No,4,4.9,774
Yo! China,1,Guwahati,Ulubari,['Chinese'],800,No,No,3,3.6,327
4 Seasons,1,Guwahati,Uzan Bazaar,"['Chinese', 'North Indian']",300,No,No,1,3.6,142
11th Avenue Cafe Bistro,1,Guwahati,Uzan Bazaar,"['Cafe', 'American', 'Italian', 'Continental']",400,No,No,2,4.1,377
Cafí© Riverrun,1,Guwahati,Uzan Bazaar,"['Continental', 'Juices', 'Cafe', 'Desserts', 'Salad', 'Italian']",500,No,No,2,4.2,99
Fat Belly,1,Guwahati,Uzan Bazaar,"['Asian', 'Chinese', 'Tibetan']",500,No,No,2,4.1,25
The Corner Cafe,1,Guwahati,Uzan Bazaar,"['Cafe', 'Continental']",850,No,No,3,4.1,179
Chung Fa,1,Guwahati,Zoo Tiniali,['Chinese'],600,No,No,2,4.3,369
Shanghai Salsa,1,Guwahati,Zoo Tiniali,"['Continental', 'Fast Food', 'Chinese', 'Charcoal Grill', 'Mexican']",1000,No,No,3,4.0,256
Three Guys,1,Guwahati,Zoo Tiniali,"['Continental', 'North Indian', 'Chinese', 'Arabian', 'Thai']",700,No,No,2,4.3,233
Ziya,1,Guwahati,Zoo Tiniali,"['Continental', 'Chinese']",700,No,No,2,4.3,96
Exotica,1,Hyderabad,"12th Square Building, Banjara Hills","['Mughlai', 'North Indian', 'Chinese']",1500,Yes,Yes,3,4.3,3374
AB's - Absolute Barbecues,1,Hyderabad,Banjara Hills,"['European', 'Mediterranean', 'North Indian']",1500,No,No,3,4.9,200
Chili's,1,Hyderabad,Banjara Hills,"['Mexican', 'American', 'Tex-Mex', 'Burger']",1800,Yes,Yes,3,4.7,1932
The Fisherman's Wharf,1,Hyderabad,Gachibowli,"['Seafood', 'Continental', 'Goan', 'Asian', 'Andhra']",1500,Yes,No,3,3.8,144
Chili's,1,Hyderabad,Hitech City,"['Mexican', 'American', 'Tex-Mex', 'Burger']",1800,No,Yes,3,4.6,2553
Pine & Dine,1,Hyderabad,Hitech City,"['North Indian', 'South Indian', 'Chinese']",700,Yes,Yes,2,4.0,682
Jonathan's Kitchen - Holiday Inn Express & Suites,1,Hyderabad,Holiday Inn Express & Suites,"['North Indian', 'Japanese', 'Italian']",1900,Yes,No,3,4.3,860
AB's - Absolute Barbecues,1,Hyderabad,Jubilee Hills,"['European', 'Mediterranean', 'North Indian']",1500,No,No,3,4.9,5434
Coní_u,1,Hyderabad,Jubilee Hills,"['Bakery', 'Desserts']",600,No,No,2,4.8,1023
Dock Forty Five,1,Hyderabad,Jubilee Hills,"['Continental', 'Asian']",1400,No,No,3,4.2,79
Mocha Bar,1,Hyderabad,Jubilee Hills,"['North Indian', 'Continental', 'Italian']",1200,Yes,No,3,4.2,221
Olive Bistro,1,Hyderabad,Jubilee Hills,"['Mediterranean', 'Italian', 'European']",2000,Yes,Yes,4,4.4,2218
Prost Brew Pub,1,Hyderabad,Jubilee Hills,"['Italian', 'Continental', 'Chinese']",1200,Yes,No,3,4.1,594
United Kitchens of India,1,Hyderabad,Jubilee Hills,"['North Indian', 'Andhra', 'Chettinad', 'Bengali', 'Mughlai', 'Chinese']",1100,Yes,No,3,4.1,1431
Heart Cup Coffee,1,Hyderabad,Kondapur,"['Cafe', 'Continental', 'North Indian', 'Chinese']",1800,No,Yes,3,4.2,1859
Churrolto,1,Hyderabad,Madhapur,"['Desserts', 'Cafe', 'Mexican']",500,No,No,2,4.7,344
The Grand Trunk Road,1,Hyderabad,Madhapur,"['North Indian', 'Chinese']",1100,No,Yes,3,3.9,616
Sahibäó»s Barbeque by Ohriäó»s,1,Hyderabad,Ohri' Hitech City,"['Hyderabadi', 'Awadhi']",1400,Yes,No,3,4.1,571
KYRO,1,Indore,Bhawar Kuan,"['North Indian', 'Chinese', 'Continental', 'Mediterranean', 'Asian']",1300,No,No,3,3.7,238
JAL - A Jungle Restaurant,1,Indore,Bhawar Kuan,"['North Indian', 'Chinese']",850,No,No,3,4.1,100
Oye24,1,Indore,HIG-LIG,"['North Indian', 'Chinese', 'South Indian']",250,No,No,1,4.1,152
Hobnob Gourmet Cafí©bar,1,Indore,"Infiniti Hotel, Vijay Nagar","['Italian', 'Continental']",1950,No,No,4,4.1,37
Mangosteen Cafe,1,Indore,New Palasia,"['Cafe', 'Fast Food', 'Italian', 'Mexican']",700,No,No,2,3.9,430
Mama Loca,1,Indore,New Palasia,"['Greek', 'Lebanese']",1000,No,No,3,4.2,304
Vidorra,1,Indore,New Palasia,"['North Indian', 'Chinese']",1200,No,No,3,4.0,404
Cafe Palette,1,Indore,Old Palasia,"['Cafe', 'Lebanese', 'Italian']",800,No,No,3,3.8,214
Nafees Restaurant,1,Indore,Old Palasia,"['North Indian', 'Mughlai']",850,No,No,3,4.0,496
The Creative Kitchen - Radisson Blu Hotel,1,Indore,"Radisson Blu Hotel, Vijay Nagar","['North Indian', 'Continental', 'Mexican', 'Italian']",2000,No,No,4,3.8,209
Square - Sayaji Hotel,1,Indore,"Sayaji Hotel, Vijay Nagar","['North Indian', 'Chinese', 'Italian']",1500,No,No,4,4.3,334
Freito,1,Indore,Vijay Nagar,"['Mexican', 'Italian']",650,No,No,2,3.1,26
Cafe Terazza,1,Indore,Vijay Nagar,"['Cafe', 'Italian', 'Mexican', 'Chinese']",700,No,No,2,3.9,502
Cafe Yolo,1,Indore,Vijay Nagar,"['Cafe', 'Fast Food']",650,No,No,2,3.8,69
Just My Bakes,1,Indore,Vijay Nagar,"['Cafe', 'Bakery']",500,No,No,2,3.9,69
10 Downing Street,1,Indore,Vijay Nagar,"['North Indian', 'Chinese']",1500,No,No,4,4.0,413
Cakesmith's Alley,1,Indore,Vijay Nagar,"['Bakery', 'Cafe', 'Fast Food']",400,No,No,2,4.3,87
The Yellow Chilli,1,Indore,Vijay Nagar,"['North Indian', 'Mughlai', 'Seafood']",1100,No,No,3,4.1,181
Waffle House,1,Indore,Vijay Nagar,"['Cafe', 'Fast Food']",500,No,No,2,4.3,171
Mocha,1,Indore,YN Road,"['Cafe', 'Continental', 'Italian', 'Street Food']",800,No,No,3,4.0,341
Tapri Central,1,Jaipur,C Scheme,"['Cafe', 'Fast Food', 'Street Food']",750,No,Yes,2,4.7,1469
Blackout,1,Jaipur,C Scheme,"['North Indian', 'European', 'Continental', 'Finger Food']",1650,No,No,3,3.9,676
Mamu's Infusion,1,Jaipur,C Scheme,"['Italian', 'Chinese', 'Mexican', 'Thai', 'North Indian']",1400,No,Yes,3,4.0,582
Nibs Cafe,1,Jaipur,C Scheme,"['Cafe', 'Italian', 'Continental']",750,No,Yes,2,4.4,389
On The House,1,Jaipur,C Scheme,"['Italian', 'Continental', 'Mexican', 'Cafe', 'Bakery']",1300,No,Yes,3,4.4,843
WTF,1,Jaipur,C Scheme,"['Continental', 'Italian', 'North Indian', 'Lebanese', 'Thai']",1000,No,No,3,4.0,212
Chokhi Dhani,1,Jaipur,"Chokhi Dhani Village Resort, Tonk Road",['Rajasthani'],1600,No,No,3,4.3,1478
Meraaki Kitchen,1,Jaipur,Civil Lines,"['Modern Indian', 'Asian']",1500,No,No,3,3.9,67
Taruveda Bistro,1,Jaipur,Civil Lines,"['Cafe', 'Italian', 'Japanese', 'Continental']",1000,No,Yes,3,4.2,633
The Forresta Kitchen & Bar,1,Jaipur,"Devraj Niwas, Bani Park","['Continental', 'Mexican', 'Beverages', 'Desserts', 'North Indian', 'Chinese', 'Rajasthani']",1800,No,No,3,4.0,916
Monarch Restaurant - Holiday Inn Jaipur City Centre,1,Jaipur,"Holiday Inn Jaipur City Centre, Bais Godam","['North Indian', 'Chinese', 'Continental', 'Rajasthani']",2300,No,No,4,4.5,420
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,1,Jaipur,"Holiday Inn Jaipur City Centre, Bais Godam","['Chinese', 'Asian']",2500,No,No,4,4.3,308
Zolocrust - Hotel Clarks Amer,1,Jaipur,"Hotel Clarks Amer, Malviya Nagar","['Italian', 'Bakery', 'Continental']",2000,No,Yes,4,4.9,322
Mutual's,1,Jaipur,Lal Kothi,"['Cafe', 'Mexican', 'Italian', 'North Indian', 'Fast Food']",650,No,Yes,2,4.2,198
O2- The Plant Cafe,1,Jaipur,Lal Kothi,['Continental'],700,No,No,2,4.1,148
Cafe LazyMojo,1,Jaipur,Malviya Nagar,"['Cafe', 'Mexican', 'Italian', 'Continental']",800,No,Yes,2,4.3,798
Replay,1,Jaipur,Tonk Road,"['North Indian', 'Continental', 'Chinese', 'Italian', 'Mexican']",1500,No,No,3,4.3,1121
Sky Beach,1,Jaipur,Vaishali Nagar,"['North Indian', 'Continental', 'Chinese', 'Mexican', 'Italian', 'Desserts']",1000,No,No,3,2.6,46
Decked Up By Garden Cafe,1,Jaipur,Vaishali Nagar,"['Cafe', 'Fast Food', 'North Indian']",1200,No,Yes,3,3.9,310
Calzone- Dine & Rooftop Lounge,1,Jaipur,Vidhyadhar Nagar,"['Continental', 'Mexican', 'North Indian', 'Chinese']",800,No,Yes,2,3.7,112
Hucka,1,Kanpur,Arya Nagar,"['Chinese', 'Fast Food']",550,No,No,2,3.3,148
The Zaffran,1,Kanpur,Ashok Nagar,"['North Indian', 'Continental', 'Asian']",800,No,No,3,3.3,51
Gyan Vaishnav,1,Kanpur,Ashok Nagar,['North Indian'],400,No,No,2,3.9,97
Liquid,1,Kanpur,Ashok Nagar,"['Finger Food', 'North Indian', 'Continental', 'Italian', 'Mediterranean']",1000,No,No,3,4.0,24
Royal Dine - Hotel Royal Cliff,1,Kanpur,Hotel Royal Cliff,"['North Indian', 'Chinese']",1500,No,No,4,4.0,54
Urban Crave Express,1,Kanpur,IIT Kanpur,"['Cafe', 'Italian']",600,No,No,2,3.5,43
Atmosphere Grill Cafe Sheesha,1,Kanpur,Mall Road,"['Indian', 'Chinese', 'Continental']",0,No,No,1,3.6,34
Mr Brown,1,Kanpur,Mall Road,"['Bakery', 'Desserts', 'Fast Food']",500,No,No,2,3.9,97
Dunkin Donuts,1,Kanpur,Mall Road,"['Desserts', 'Fast Food']",500,No,No,2,4.1,87
Little Chef,1,Kanpur,Mall Road,"['North Indian', 'Fast Food']",1000,No,No,3,4.1,158
UrbanCrave,1,Kanpur,Parade,"['Cafe', 'Continental', 'Desserts', 'Ice Cream', 'Italian', 'Beverages']",0,No,No,1,3.9,127
Chin Mi,1,Kanpur,"Rave 3, Tilak Nagar",['Chinese'],1500,No,No,4,3.9,86
Tadka,1,Kanpur,"Rave Moti, Kakadeo",['North Indian'],1000,No,No,3,3.8,97
Dhuaan,1,Kanpur,"Status Club, Kanpur Cantonment","['North Indian', 'Mexican', 'Italian']",1500,No,No,4,4.3,155
Upper Crust,1,Kanpur,Swaroop Nagar,"['Bakery', 'Fast Food']",350,No,No,2,3.4,49
Anaicha's Food Joint,1,Kanpur,Swaroop Nagar,"['Chinese', 'North Indian', 'Continental']",850,No,No,3,3.6,106
Aromas,1,Kanpur,Swaroop Nagar,['Fast Food'],350,No,No,2,4.1,171
Waterside - The Landmark Hotel,1,Kanpur,"The Landmark Hotel, Mall Road","['North Indian', 'Chinese']",3000,No,No,4,3.9,113
Verandah,1,Kanpur,Tilak Nagar,"['Chinese', 'Italian', 'Fast Food']",1500,No,No,4,3.7,160
Barbeque Nation,1,Kanpur,"Z Square Mall, Mall Road","['North Indian', 'Mughlai', 'Lebanese', 'Arabian', 'Mediterranean']",1400,No,No,3,4.0,41
Nawras Seafood Restaurant,1,Kochi,Chittoor Road,['Seafood'],1000,No,No,3,4.6,289
Ifthar,1,Kochi,Edappally,['Kerala'],350,No,No,1,3.8,281
Dhe Puttu,1,Kochi,Edappally,['Kerala'],600,No,Yes,2,4.4,662
Kashi Art Cafe,1,Kochi,Fort Kochi,"['European', 'Cafe']",600,No,No,2,4.2,659
Grand Hotel Restaurant,1,Kochi,"Grand Hotel, MG Road","['North Indian', 'Kerala', 'Chinese', 'Continental']",1000,No,No,3,4.2,394
Barbeque Nation,1,Kochi,Kacheripady,"['European', 'North Indian', 'Mediterranean', 'American']",1500,No,No,3,4.5,213
Chiyang,1,Kochi,Kacheripady,"['Chinese', 'Continental']",800,No,No,2,3.7,277
Slice of Spice,1,Kochi,Kacheripady,"['Fast Food', 'Biryani']",400,No,Yes,1,4.0,246
Mustake Multicuisine Restaurant,1,Kochi,Kakkanad,"['Chinese', 'Thai', 'North Indian', 'South Indian']",1000,No,Yes,3,3.7,145
Palaaram,1,Kochi,Kakkanad,"['Kerala', 'Fast Food']",550,No,No,2,3.7,105
Tonico Cafe,1,Kochi,Kakkanad,['Cafe'],400,No,No,1,4.0,406
Cafe 17,1,Kochi,Kaloor,"['Cafe', 'Continental', 'Italian']",700,No,Yes,2,4.4,333
ChaiCofi,1,Kochi,Kaloor,"['Cafe', 'Continental', 'Italian']",800,No,No,2,4.0,160
Bloomsbury's Boutique Cafe and Artisan Bakery,1,Kochi,"LuLu Mall, Edappally","['Cafe', 'Bakery', 'Desserts']",650,No,Yes,2,4.2,482
Paragon,1,Kochi,"LuLu Mall, Edappally","['Kerala', 'South Indian', 'Continental', 'North Indian', 'Seafood', 'Chinese']",900,No,No,2,4.3,722
Aangan - Downtown Multicuisine Restaurant,1,Kochi,Palarivattom,"['Chinese', 'Seafood', 'North Indian', 'Biryani']",650,No,No,2,4.2,146
Ali Baba & 41 Dishes,1,Kochi,Panampilly Nagar,"['Kerala', 'South Indian', 'Chinese', 'Biryani']",400,No,No,1,3.5,348
Cocoa Tree,1,Kochi,Panampilly Nagar,"['Italian', 'Seafood', 'Mediterranean', 'Desserts', 'Cafe']",1000,No,No,3,4.3,658
French Toast,1,Kochi,Panampilly Nagar,"['Continental', 'Cafe', 'Desserts', 'Bakery']",700,No,No,2,4.3,312
Thakkaaram,1,Kochi,Vyttila,"['Kerala', 'South Indian']",600,No,No,2,3.6,361
Asia Kitchen by Mainland China,1,Kolkata,"Acropolis Mall, Kasba ","['Asian', 'Chinese']",1400,No,Yes,3,4.6,945
Hoppipola,1,Kolkata,"Acropolis Mall, Kasba ","['Italian', 'Mexican', 'American', 'Mediterranean']",1200,No,Yes,3,4.2,1103
Spice Kraft,1,Kolkata,Ballygunge,"['Continental', 'Middle Eastern', 'Asian']",1200,No,No,3,4.8,1424
Nawwarah,1,Kolkata,Ballygunge,"['Chinese', 'Cafe', 'North Indian', 'Desserts']",1000,No,No,3,3.9,326
6 Ballygunge Place,1,Kolkata,Ballygunge,['Bengali'],1000,Yes,Yes,3,4.4,1778
Mumbai Local,1,Kolkata,Ballygunge,"['North Indian', 'Chinese', 'Street Food']",1200,Yes,No,3,4.2,704
Gabbar's Bar & Kitchen,1,Kolkata,Camac Street Area,"['North Indian', 'Chinese', 'Mexican', 'Italian']",1400,Yes,No,3,4.4,1484
TGI Friday's,1,Kolkata,Elgin,"['Tex-Mex', 'American']",1800,Yes,Yes,3,4.0,911
Santa's Fantasea,1,Kolkata,Golpark,"['Seafood', 'Chinese']",800,No,No,2,4.2,2584
India Restaurant,1,Kolkata,Kidderpore,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']",800,Yes,Yes,2,4.6,1219
Flame & Grill,1,Kolkata,"Mani Square Mall, Kankurgachi","['North Indian', 'Continental']",1500,Yes,No,3,3.9,1064
Barbeque Nation,1,Kolkata,Park Street Area,"['North Indian', 'Chinese']",1600,No,No,3,4.9,1753
Mocambo,1,Kolkata,Park Street Area,"['Continental', 'Italian', 'North Indian']",1050,No,Yes,3,3.5,4464
BarBQ,1,Kolkata,Park Street Area,"['Chinese', 'North Indian']",900,No,Yes,2,4.2,5288
Peter Cat,1,Kolkata,Park Street Area,"['Continental', 'North Indian']",1000,No,Yes,3,4.3,7574
The Irish House,1,Kolkata,"Quest Mall, Ballygunge","['European', 'American']",1900,No,No,3,4.4,2224
Barbeque Nation,1,Kolkata,"Sector 5, Salt Lake","['North Indian', 'Chinese']",1600,No,No,3,4.9,5966
Ocean Grill,1,Kolkata,"Sector 5, Salt Lake","['Continental', 'Seafood', 'North Indian', 'Asian']",1500,Yes,No,3,3.6,1040
Sigree Global Grill,1,Kolkata,"Silver Spring Arcade, Science City Area",['North Indian'],1600,Yes,No,3,4.1,1616
What's Up,1,Kolkata,Southern Avenue,"['Cafe', 'Chinese', 'Continental']",1000,Yes,No,3,4.0,1126
Grandson of Tunday Kababi,1,Lucknow,Aminabad,"['Mughlai', 'Lucknowi']",300,No,No,1,4.9,1057
Frozen Factory,1,Lucknow,Gomti Nagar,"['Desserts', 'Ice Cream']",200,No,No,1,4.5,144
Mocha,1,Lucknow,Gomti Nagar,"['Cafe', 'Italian', 'Continental']",800,No,No,3,4.6,567
Chemistry Cafí©,1,Lucknow,Gomti Nagar,"['Cafe', 'Continental', 'Chinese']",650,No,No,2,3.5,147
Homeys Cafe,1,Lucknow,Gomti Nagar,"['Cafe', 'Fast Food']",450,No,No,2,3.9,217
Percussion,1,Lucknow,Gomti Nagar,"['Continental', 'North Indian', 'Asian']",1000,No,No,3,3.7,514
The Urban Terrace,1,Lucknow,Gomti Nagar,"['North Indian', 'Continental']",1100,No,No,3,3.9,268
Free Spirit,1,Lucknow,Gomti Nagar,"['Cafe', 'Italian']",450,No,No,2,4.3,106
Spice Caves,1,Lucknow,Gomti Nagar,"['North Indian', 'Chinese', 'Mughlai']",1200,No,No,3,4.2,691
The Chocolate Heaven,1,Lucknow,Gomti Nagar,"['Cafe', 'Italian', 'Desserts']",400,No,No,2,4.1,165
The Pebbles Bistro,1,Lucknow,Gomti Nagar,['European'],1000,No,No,3,4.1,80
Underdoggs Sports Bar & Grill,1,Lucknow,Gomti Nagar,"['Mediterranean', 'Italian', 'American']",1300,No,No,3,4.3,124
Vintage Machine,1,Lucknow,Gomti Nagar,"['Italian', 'American', 'Lebanese']",1000,No,No,3,4.3,887
Bar Bar,1,Lucknow,Hazratganj,"['Cafe', 'Chinese', 'Thai', 'North Indian', 'Continental']",1000,No,No,3,4.0,79
Dastarkhwan,1,Lucknow,Hazratganj,['Mughlai'],400,No,No,2,4.4,818
The Cherry Tree Cafe,1,Lucknow,Hazratganj,"['Cafe', 'Bakery']",400,No,No,2,4.1,288
Royal Sky,1,Lucknow,Lalbagh,"['North Indian', 'Mughlai', 'Chinese', 'Continental']",1100,No,No,3,4.2,762
L 14 - Renaissance Lucknow Hotel,1,Lucknow,Renaissance Lucknow Hotel,"['North Indian', 'Continental', 'South Indian', 'Chinese', 'Thai', 'Asian']",2000,No,No,4,4.2,149
Barbeque Nation,1,Lucknow,"Riverside Mall, Gomti Nagar",['North Indian'],1600,No,No,4,4.7,1069
Colours by Royal Cafe - Royal Inn,1,Lucknow,"Royal Inn, Hazratganj","['North Indian', 'Mughlai', 'Chinese']",1000,No,No,3,4.2,411
Cappuccino Blast,1,Lucknow,Sadar Bazaar,"['Cafe', 'Fast Food']",700,No,No,2,4.0,587
Basant Restaurant,1,Ludhiana,"A Hotel, Gurdev Nagar","['North Indian', 'Chinese', 'Fast Food']",800,No,No,2,3.6,93
Hawai Adda,1,Ludhiana,Aggar Nagar,"['North Indian', 'Chinese', 'Continental']",1500,No,No,3,3.5,17
Indian Summer,1,Ludhiana,BRS Nagar,"['North Indian', 'Chinese']",1400,No,No,3,4.1,191
Basant,1,Ludhiana,Civil Lines,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",400,No,No,1,3.9,109
Bistro 226,1,Ludhiana,Civil Lines,"['Italian', 'Continental', 'North Indian', 'Cafe']",1400,No,No,3,4.2,217
Mocha,1,Ludhiana,Gurdev Nagar,['Cafe'],800,No,No,2,3.7,153
Pirates Of Grill,1,Ludhiana,Gurdev Nagar,"['North Indian', 'Mughlai']",1300,No,No,3,3.9,41
Bistro Flamme Bois,1,Ludhiana,Gurdev Nagar,"['Italian', 'Continental', 'Mexican', 'Lebanese']",1500,No,No,3,4.1,178
Kitchen At 95 - Hyatt Regency,1,Ludhiana,"Hyatt Regency, Rajguru Nagar","['Mediterranean', 'Chinese', 'Continental']",2000,No,No,4,4.3,87
Domino's Pizza,1,Ludhiana,"Main Market, Sarabha Nagar","['Pizza', 'Fast Food']",700,No,No,2,3.6,86
Nando's,1,Ludhiana,"Main Market, Sarabha Nagar","['Portuguese', 'African']",1200,No,No,3,3.8,156
